Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brett Favre\FavrBr00,GNB,37,QB,16,16,8-8-0,343,613,56.0,3885,18,2.9,18,2.9,82,6.3,5.6,11.3,242.8,72.7,43.8,21,134,5.92,5.21,3.3,1,1
2,Jon Kitna\KitnJo00,DET,34,QB,16,16,3-13-0,372,596,62.4,4208,21,3.5,22,3.7,60,7.1,6.1,11.3,263.0,79.9,41.7,63,388,5.80,4.93,9.6,1,1
3,Marc Bulger*\BulgMa00,STL,29,QB,16,16,8-8-0,370,588,62.9,4301,24,4.1,8,1.4,67,7.3,7.5,11.6,268.8,92.9,57.3,49,366,6.18,6.37,7.7,2,3
4,Peyton Manning*\MannPe00,IND,30,QB,16,16,12-4-0,362,557,65.0,4397,31,5.6,9,1.6,68,7.9,8.3,12.1,274.8,101.0,87.4,14,86,7.55,7.93,2.5,3,3
5,Drew Brees*+\BreeDr00,NOR,27,QB,16,16,10-6-0,356,554,64.3,4418,26,4.7,11,2.0,86,8.0,8.0,12.4,276.1,96.2,69.5,18,105,7.54,7.58,3.1,1,2
6,Eli Manning\MannEl00,NYG,25,QB,16,16,8-8-0,301,522,57.7,3244,24,4.6,18,3.4,55,6.2,5.6,10.8,202.8,77.0,52.3,25,186,5.59,4.99,4.6,2,2
7,Carson Palmer*\PalmCa00,CIN,27,QB,16,16,8-8-0,324,520,62.3,4035,28,5.4,13,2.5,74,7.8,7.7,12.5,252.2,93.9,66.4,36,233,6.84,6.79,6.5,2,3
8,Tom Brady\BradTo00,NWE,29,QB,16,16,12-4-0,319,516,61.8,3529,24,4.7,12,2.3,62,6.8,6.7,11.1,220.6,87.9,67.2,26,175,6.19,6.08,4.8,2,2
9,Chad Pennington\PennCh01,NYJ,30,QB,16,16,10-6-0,313,485,64.5,3352,17,3.5,16,3.3,71,6.9,6.1,10.7,209.5,82.6,62.3,30,172,6.17,5.44,5.8,1,2
10,Rex Grossman\GrosRe00,CHI,26,QB,16,16,13-3-0,262,480,54.6,3193,23,4.8,20,4.2,62,6.7,5.7,12.2,199.6,73.9,48.0,21,142,6.09,5.21,4.2,1,2
11,Ben Roethlisberger\RoetBe00,PIT,24,QB,15,15,7-8-0,280,469,59.7,3513,18,3.8,23,4.9,67,7.5,6.1,12.5,234.2,75.4,55.5,46,280,6.28,4.97,8.9,2,3
12,Steve McNair\McNaSt00,BAL,33,QB,16,16,13-3-0,295,468,63.0,3050,16,3.4,12,2.6,87,6.5,6.0,10.3,190.6,82.5,66.9,14,84,6.15,5.70,2.9,3,3
13,Philip Rivers*\RivePh00,SDG,25,QB,16,16,14-2-0,284,460,61.7,3388,22,4.8,9,2.0,57,7.4,7.4,11.9,211.8,92.0,67.6,27,144,6.66,6.73,5.5,4,4
14,David Carr\CarrDa00,HOU,27,QB,16,16,6-10-0,302,442,68.3,2767,11,2.5,12,2.7,53,6.3,5.5,9.2,172.9,82.1,46.4,41,240,5.23,4.57,8.5,1,3
15,Alex Smith\SmitAl03,SFO,22,QB,16,16,7-9-0,257,442,58.1,2890,16,3.6,16,3.6,75,6.5,5.6,11.2,180.6,74.8,41.4,35,202,5.64,4.80,7.3,1,2
