Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Fouts*\FoutDa00,SDG,29,QB,16,16,11-5-0,348,589,59.1,4715,30,5.1,24,4.1,65,8.0,7.2,13.5,294.7,84.7,32,210,7.25,6.48,5.2,1,2
2,Brian Sipe*+\SipeBr00,CLE,31,QB,16,16,11-5-0,337,554,60.8,4132,30,5.4,14,2.5,65,7.5,7.4,12.3,258.3,91.4,23,217,6.79,6.73,4.0,3,4
3,Tommy Kramer\KramTo00,MIN,25,QB,15,15,8-7-0,299,522,57.3,3582,19,3.6,23,4.4,76,6.9,5.6,12.0,238.8,72.2,37,214,6.03,4.85,6.6,4,4
4,Doug Williams\WillDo01,TAM,25,QB,16,16,5-10-1,254,521,48.8,3396,20,3.8,16,3.1,61,6.5,5.9,13.4,212.3,69.9,23,194,5.89,5.30,4.2,5,4
5,Archie Manning\MannAr00,NOR,31,QB,16,16,1-15-0,309,509,60.7,3716,23,4.5,20,3.9,56,7.3,6.4,12.0,232.3,81.8,41,311,6.19,5.39,7.5,1,1
6,Jim Zorn\ZornJi00,SEA,27,QB,16,16,4-12-0,276,488,56.6,3346,17,3.5,20,4.1,67,6.9,5.7,12.1,209.1,72.3,44,341,5.65,4.60,8.3,1,1
7,Richard Todd\ToddRi00,NYJ,27,QB,16,16,4-12-0,264,479,55.1,3329,17,3.5,30,6.3,55,6.9,4.8,12.6,208.1,62.7,42,326,5.76,3.83,8.1,0,2
8,Lynn Dickey\DickLy00,GNB,31,QB,16,16,5-10-1,278,478,58.2,3529,15,3.1,25,5.2,69,7.4,5.7,12.7,220.6,70.0,37,314,6.24,4.64,7.2,0,3
9,Steve Bartkowski*\BartSt00,ATL,28,QB,16,16,12-4-0,257,463,55.5,3544,31,6.7,16,3.5,81,7.7,7.4,13.8,221.5,88.2,35,324,6.47,6.27,7.0,3,4
10,Ken Stabler\StabKe00,HOU,35,QB,16,16,11-5-0,293,457,64.1,3202,13,2.8,28,6.1,79,7.0,4.8,10.9,200.1,68.7,27,264,6.07,4.00,5.6,2,2
11,Joe Theismann\TheiJo00,WAS,31,QB,16,15,6-9-0,262,454,57.7,2962,17,3.7,16,3.5,54,6.5,5.7,11.3,185.1,75.2,31,282,5.53,4.74,6.4,2,2
12,Ron Jaworski*\JawoRo00,PHI,29,QB,16,16,12-4-0,257,451,57.0,3529,27,6.0,12,2.7,56,7.8,7.8,13.7,220.6,91.0,27,213,6.94,6.94,5.6,2,3
13,Bert Jones\JoneBe00,BAL,29,QB,15,15,6-9-0,248,446,55.6,3134,23,5.2,21,4.7,47,7.0,5.9,12.6,208.9,75.3,34,262,5.98,4.97,7.1,0,2
14,Joe Ferguson\FergJo00,BUF,30,QB,16,16,11-5-0,251,439,57.2,2805,20,4.6,18,4.1,69,6.4,5.5,11.2,175.3,74.5,13,129,5.92,5.01,2.9,2,4
15,Danny White\WhitDa01,DAL,28,P/QB,16,16,12-4-0,260,436,59.6,3287,28,6.4,25,5.7,58,7.5,6.2,12.6,205.4,80.7,30,252,6.51,5.30,6.4,1,1
16,Jim Hart\HartJi00,STL,36,QB,15,15,5-10-0,228,425,53.6,2946,16,3.8,20,4.7,69,6.9,5.6,12.9,196.4,68.6,39,292,5.72,4.47,8.4,0,0
17,Terry Bradshaw\BradTe00,PIT,32,QB,15,15,9-6-0,218,424,51.4,3339,24,5.7,22,5.2,68,7.9,6.7,15.3,222.6,75.0,33,245,6.77,5.65,7.2,3,4
18,Gary Danielson\DaniGa00,DET,29,QB,16,16,9-7-0,244,417,58.5,3223,13,3.1,11,2.6,87,7.7,7.2,13.2,201.4,82.4,44,338,6.26,5.75,9.5,1,2
19,Vince Ferragamo\FerrVi00,RAM,26,QB,16,15,11-4-0,240,404,59.4,3199,30,7.4,19,4.7,74,7.9,7.3,13.3,199.9,89.7,23,191,7.04,6.45,5.4,0,0
20,Phil Simms\SimmPh00,NYG,25,QB,13,13,3-10-0,193,402,48.0,2321,15,3.7,19,4.7,58,5.8,4.4,12.0,178.5,58.9,36,233,4.77,3.50,8.2,1,1
21,David Woodley\WoodDa00,MIA,22,QB,13,11,6-5-0,176,327,53.8,1850,14,4.3,17,5.2,61,5.7,4.2,10.5,142.3,63.1,17,127,5.01,3.60,4.9,1,2
22,Steve DeBerg\DebeSt00,SFO,26,QB,11,9,4-5-0,186,321,57.9,1998,12,3.7,17,5.3,93,6.2,4.6,10.7,181.6,66.7,14,114,5.62,4.06,4.2,1,2
23,Steve Fuller\FullSt00,KAN,23,QB,14,13,6-7-0,193,320,60.3,2250,10,3.1,12,3.8,77,7.0,6.0,11.7,160.7,76.4,49,348,5.15,4.23,13.3,3,4
24,Jim Plunkett\PlunJi00,OAK,33,QB,13,11,9-2-0,165,320,51.6,2299,18,5.6,16,5.0,86,7.2,6.1,13.9,176.8,72.9,36,285,5.66,4.65,10.1,1,2
25,Steve Grogan\GrogSt00,NWE,27,QB,12,12,7-5-0,175,306,57.2,2475,18,5.9,22,7.2,71,8.1,6.0,14.1,206.3,73.1,17,138,7.24,5.28,5.3,1,1
26,Craig Morton\MortCr00,DEN,37,QB,12,9,4-5-0,183,301,60.8,2150,12,4.0,13,4.3,41,7.1,6.0,11.7,179.2,77.8,26,190,5.99,4.94,8.0,1,3
27,Vince Evans\EvanVi00,CHI,25,QB,13,10,5-5-0,148,278,53.2,2039,11,4.0,16,5.8,89,7.3,5.5,13.8,156.8,66.2,26,205,6.03,4.39,8.6,1,0
28,Ken Anderson\AndeKe00,CIN,31,QB,13,12,5-7-0,166,275,60.4,1778,6,2.2,13,4.7,67,6.5,4.8,10.7,136.8,66.9,24,174,5.36,3.81,8.0,,
29,Joe Montana\MontJo01,SFO,24,qb,15,7,2-5-0,176,273,64.5,1795,15,5.5,9,3.3,71,6.6,6.2,10.2,119.7,87.8,15,100,5.89,5.52,5.2,1,1
30,Jack Thompson\ThomJa00,CIN,24,qb,14,4,1-3-0,115,234,49.1,1324,11,4.7,12,5.1,59,5.7,4.3,11.5,94.6,60.9,13,113,4.90,3.61,5.3,2,3
