
Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Dan Marino\MariDa00,MIA,27,QB,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,80,7.3,6.5,12.5,277.1,80.8,6,31,7.19,6.42,1.0,1,2
2,Randall Cunningham*\CunnRa00,PHI,25,QB,16,16,10-6-0,301,560,53.8,3808,24,4.3,16,2.9,80,6.8,6.4,12.7,238.0,77.6,57,442,5.46,5.07,9.2,3,3
3,Jim Everett\EverJi00,RAM,25,QB,16,16,10-6-0,308,517,59.6,3964,31,6.0,18,3.5,69,7.7,7.3,12.9,247.8,89.2,28,197,6.91,6.56,5.1,,
4,John Elway\ElwaJo00,DEN,28,QB,15,15,8-7-0,274,496,55.2,3309,17,3.4,19,3.8,86,6.7,5.6,12.1,220.6,71.4,30,237,5.84,4.86,5.7,1,1
5,Phil Simms\SimmPh00,NYG,33,QB,15,15,9-6-0,263,479,54.9,3359,21,4.4,11,2.3,62,7.0,6.9,12.8,223.9,82.1,53,405,5.55,5.41,10.0,1,1
6,Bobby Hebert\HebeBo00,NOR,28,QB,16,16,10-6-0,280,478,58.6,3156,20,4.2,15,3.1,40,6.6,6.0,11.3,197.3,79.3,24,171,5.95,5.40,4.8,1,2
7,Vinny Testaverde\TestVi00,TAM,25,QB,15,15,5-10-0,222,466,47.6,3240,13,2.8,35,7.5,59,7.0,4.1,14.6,216.0,48.8,33,292,5.91,3.27,6.6,2,3
8,Jim Kelly*\KellJi00,BUF,28,QB,16,16,12-4-0,269,452,59.5,3380,15,3.3,17,3.8,66,7.5,6.4,12.6,211.3,78.2,30,229,6.54,5.57,6.2,3,5
9,Neil Lomax\LomaNe00,PHO,29,QB,14,14,7-7-0,255,443,57.6,3395,20,4.5,11,2.5,93,7.7,7.4,13.3,242.5,86.7,46,315,6.30,6.10,9.4,2,2
10,Steve Pelluer\PellSt00,DAL,26,QB,16,14,3-11-0,245,435,56.3,3139,17,3.9,19,4.4,61,7.2,6.0,12.8,196.2,73.9,21,112,6.64,5.51,4.6,1,2
11,Ken O'Brien\OBriKe00,NYJ,28,QB,14,12,6-5-1,236,424,55.7,2567,15,3.5,7,1.7,50,6.1,6.0,10.9,183.4,78.6,37,267,4.99,4.96,8.0,2,3
12,Steve DeBerg\DebeSt00,KAN,34,QB,13,11,4-6-1,224,414,54.1,2935,16,3.9,16,3.9,80,7.1,6.1,13.1,225.8,73.5,30,246,6.06,5.16,6.8,3,3
13,Joe Montana\MontJo01,SFO,32,QB,14,13,8-5-0,238,397,59.9,2981,18,4.5,10,2.5,96,7.5,7.3,12.5,212.9,87.9,34,223,6.40,6.19,7.9,2,2
14,Boomer Esiason*+\EsiaBo00,CIN,27,QB,16,16,12-4-0,223,388,57.5,3572,28,7.2,14,3.6,86,9.2,9.0,16.0,223.3,97.4,30,245,7.96,7.79,7.2,3,4
15,Doug Williams\WillDo01,WAS,33,QB,11,10,4-6-0,213,380,56.1,2609,15,3.9,12,3.2,58,6.9,6.2,12.2,237.2,77.4,10,88,6.46,5.85,2.6,3,4
16,Bubby Brister\BrisBu00,PIT,26,QB,13,13,4-9-0,175,370,47.3,2634,11,3.0,14,3.8,89,7.1,6.0,15.1,202.6,65.3,36,292,5.77,4.76,8.9,1,1
17,Chris Miller\MillCh00,ATL,23,QB,13,13,5-8-0,184,351,52.4,2133,11,3.1,12,3.4,68,6.1,5.2,11.6,164.1,67.3,24,207,5.14,4.28,6.4,1,3
18,Don Majkowski\MajkDo00,GNB,24,QB,13,9,3-6-0,178,336,53.0,2119,9,2.7,11,3.3,56,6.3,5.4,11.9,163.0,67.8,31,176,5.29,4.44,8.4,,
19,Wade Wilson*\WilsWa00,MIN,29,QB,14,10,7-3-0,204,332,61.4,2746,15,4.5,9,2.7,68,8.3,8.0,13.5,196.1,91.5,33,227,6.90,6.61,9.0,,
20,Rusty Hilger\HilgRu00,DET,26,QB,11,9,3-6-0,126,306,41.2,1558,7,2.3,12,3.9,56,5.1,3.8,12.4,141.6,48.9,31,251,3.88,2.69,9.2,,
21,Warren Moon*\MoonWa00,HOU,32,QB,11,11,7-4-0,160,294,54.4,2327,17,5.8,8,2.7,57,7.9,7.8,14.5,211.5,88.4,12,120,7.21,7.15,3.9,1,1
22,Mark Malone\MaloMa00,SDG,30,QB,12,8,2-6-0,147,272,54.0,1580,6,2.2,13,4.8,59,5.8,4.1,10.7,131.7,58.8,9,45,5.46,3.81,3.2,,
23,Bernie Kosar\KosaBe00,CLE,25,QB,9,9,6-3-0,156,259,60.2,1890,10,3.9,7,2.7,77,7.3,6.9,12.1,210.0,84.3,25,172,6.05,5.64,8.8,3,3
24,Jay Schroeder\SchrJa00,RAI,27,QB,9,8,3-5-0,113,256,44.1,1839,13,5.1,13,5.1,85,7.2,5.9,16.3,204.3,64.6,19,178,6.04,4.86,6.9,1,1
25,Randy Wright\WrigRa00,GNB,27,qb,8,7,1-6-0,141,244,57.8,1490,4,1.6,13,5.3,51,6.1,4.0,10.6,186.3,58.9,20,148,5.08,3.17,7.6,,
26,Steve Beuerlein\BeueSt00,RAI,23,qb,10,8,4-4-0,105,238,44.1,1643,8,3.4,7,2.9,57,6.9,6.3,15.6,164.3,66.6,26,215,5.41,4.82,9.8,0,1
27,Chris Chandler\ChanCh00,IND,23,QB,15,13,9-4-0,129,233,55.4,1619,8,3.4,12,5.2,54,6.9,5.3,12.6,107.9,67.2,18,128,5.94,4.43,7.2,1,1
